Depth1,Age1,TC [%],TOC [%],TIC%,TN [%],δ13C Corg [‰ PDB],δ15N Corg [‰ PDB],Terr [%],CaCO3%,,Depth2,Age2,Ill cryst [d2Theta],Ill [%],Chl [%],Kln [%],,Depth3,Age3,Al,Si,S,Cl,K,Ca,Ti,Mn,Fe,Ni,Zn,Br,Zr,Sr,sorting,skewness,kurtosis,mean(um),Median(um),Clay,Silt,10-63um,TC%2,TN%2,TOC%2,TIC%2,TON%2,CaCO3(%)2,TOC/TN2,TS%,S/C
3.5,3.416,0.76,0.46,0.3,0.08,-22.17,4.42,77.44,2.5,,3.5,3.416,0.1,51.23,32.78,0,,5.5,3.43,6209.5,58462.5,1140.5,22748,50210,13774,16493,8126.5,169014,200.5,236,366,2980.5,1677.5,1.07,0.01,0.96,9.38,9.38,13.4,86.6,42.68813429,0.46,0.09,0.28,0.18,0.09,1.52,4.28,0.06,0.14
10.5,3.485,0.73,0.38,0.35,0.07,-22.39,5.1,85.4,2.92,,33.5,4.366,0.12,50.8,35.74,0,,7.5,3.45,6010.5,57350.5,987.5,19226,46760.5,22414.5,15102.5,9560.5,158413.5,184.5,209.5,258.5,4005.5,1655,0.95,0.05,0.86,7.08,7.18,21.4,78.6,28.81609628,0.69,0.08,0.41,0.28,0.08,2.33,6.01,0.04,0.06
15.5,3.535,1.18,0.45,0.73,0.07,-22.03,4.74,72.44,6.08,,64.5,4.651,0.13,42.08,34.53,5.75,,9.5,3.47,5191,50031.5,792,17556.5,41832.5,21728,13618,4056,151114.5,197.5,203.5,325.5,2973,1866,1.02,-0.03,0.85,6.36,6.23,28,72,25.02251588,0.64,0.08,0.27,0.37,0.05,3.09,4.13,0.04,0.06
23.5,4.264,0.74,0.37,0.37,0.07,-22.14,4.76,76.28,3.08,,75.5,5.464,0.08,50.13,30.99,5.06,,13.5,3.51,4106,43139,1038,23107,37471,26163,12382,4013,156294,176,167,330,3617,1663,1.02,0.04,0.84,7.49,7.58,20.9,79.1,33.08493221,0.66,0.08,0.42,0.24,0.08,2.02,6.41,0.04,0.06
33.5,4.366,0.91,0.43,0.48,0.08,-22.08,4.6,74.21,4,,194.5,7.7215,0.08,47.13,27.56,7.28,,17,3.58,5587,53937,1237,23298,45753,57512,15249,6138,150612,217,190,413,3175,2500,0.98,-0.03,0.86,6.25,6.13,27.7,72.3,23.15463613,1.15,0.09,0.5,0.65,0.08,5.44,6.81,0.04,0.03
43.5,4.431,1.03,0.39,0.64,0.08,-21.99,4.98,71.12,5.33,,224.5,8.526,0.12,43.49,25.97,12.37,,19,3.64,5312,51690,1066,21175,41995,47567,14296,4462,136749,249,217,349,2837,2255,0.99,-0.01,0.85,6.6,6.52,25.6,74.4,26.02967808,1.14,0.08,0.42,0.72,0.07,6.01,6.28,0.04,0.03
53.5,4.5255,1.09,0.42,0.67,0.07,-22.1,4.91,74.85,5.58,,233.5,8.982,0.12,42.41,31.65,15.18,,21,3.7,4431,44109,1230,25913,41767,28141,14064,4010,148131,195,215,432,2532,1895,1,-0.02,0.85,6.37,6.26,27.3,72.7,24.5488951,0.65,0.08,0.48,0.17,0.09,1.43,7.35,0.05,0.08
65.5,4.6765,0.97,0.4,0.57,0.07,-22.16,4.64,77.2,4.75,,244.5,9.7715,0.1,43.78,27.92,10.46,,25.4,3.83,4495,45558.5,1019,21371.5,38942.5,30720,12790.5,4033.5,163498,214,179.5,306.5,3076,1925.5,0.97,0.04,0.85,7.11,7.19,21.6,78.4,29.41251878,0.73,0.07,0.33,0.41,0.08,3.39,5.31,0.04,0.06
75.5,5.464,1.15,0.39,0.76,0.08,-22.35,5.11,84.05,6.33,,273.5,10.698,0.12,45.86,28.7,11.87,,30,3.98,5046,48779,1061,23914,41180,48819,13943,4546,137210,168,200,273,3986,1881,0.99,0.04,0.84,7.47,7.54,20.2,79.8,32.35011899,1.17,0.08,0.38,0.79,0.07,6.56,5.89,0.06,0.05
82.5,5.887,1.24,0.39,0.85,0.08,-21.88,5,67.16,7.08,,280.5,10.799,0.12,39.98,28.63,10.7,,32.5,4.06,5243.5,50879,1145,23479,44065.5,36435,14698.5,4492.5,156960,187.5,183,303.5,2555.5,1693,1.01,0.07,0.84,7.26,7.43,21.9,78.1,31.76541828,0.84,0.08,0.31,0.53,0.06,4.43,4.78,0.05,0.07
93.5,6.272,0.92,0.38,0.54,0.07,-22.15,5.11,76.76,4.5,,290.5,10.9635,0.12,42.08,26.86,11.39,,35.5,4.09,5302,50494.5,1146,22705,43803.5,45595,13979,3998,162523,205.5,190.5,350.5,3275.5,2080.5,1.01,-0.07,0.88,5.56,5.39,34.3,65.7,18.9630974,0.98,0.08,0.33,0.66,0.07,5.47,4.89,0.05,0.06
103.5,6.51,1,0.39,0.61,0.07,-22.49,4.57,89.01,5.08,,303.5,11.1445,0.13,44.24,24.42,14.11,,39,4.27,6060,57458,951,21441,47405,35281,15578,4466,169486,218,224,381,1966,2096,1.01,0.01,0.84,7.31,7.31,21.6,78.4,31.45264492,0.83,0.07,0.39,0.44,0.07,3.65,6.33,0.05,0.06
114.5,6.7145,0.98,0.36,0.62,0.07,-22.54,4.98,90.87,5.17,,310.5,11.2315,0.15,44.22,25.99,12.2,,42.7,4.38,5962,56083,1068,23367,46507,56716,14740,6048,159315,207,218,295,3235,2482,1,0.01,0.85,6.42,6.41,26.8,73.2,24.99453103,1.01,0.08,0.4,0.61,0.07,5.07,6.13,0.06,0.05
120.5,6.794,0.89,0.33,0.56,0.07,-22.24,4.76,79.97,4.67,,337.5,11.593,0.1,42.58,29.8,9.16,,45.5,4.47,5215,51785.5,1185.5,26073,43805,45954.5,15005,4191,166657.5,229,195,345,3208.5,2169,1,-0.07,0.88,5.24,5.08,37.3,62.7,16.7493621,0.93,0.07,0.41,0.52,0.07,4.3,6.56,0.06,0.06
133.5,6.968,1.08,0.41,0.67,0.08,-22.29,5.27,81.82,5.58,,366.5,12.5825,0.15,46.23,25.22,13,,49.2,4.58,5405,52872,998,24482,44685,43447,14897,3923,164717,226,206,383,2222,2277,1.03,0.05,0.85,8.22,8.39,17.4,82.6,37.7917497,0.9,0.07,0.41,0.49,0.07,4.08,6.45,0.05,0.05
