Depth (cm),Age (kyr BP),Density (g/cc),Fractional porosity,Density (g/cc).1,Dry bulk density,sedimentation rate,MAR(mg/cm²/yr)
5,3.43,1.7288,0.5924,1.7288,0.70465888,4.06,2.860915053
6,3.44,1.7223,0.5961,1.7223,0.69563697,4.06,2.824286098
7,3.45,1.7687,0.5692,1.7687,0.76195596,4.06,3.093541198
8,3.46,1.7713,0.5677,1.7713,0.76573299,4.06,3.108875939
9,3.4695,1.7325,0.5902,1.7325,0.7099785,4.06,2.88251271
10,3.4795,1.7016,0.6081,1.7016,0.66685704,4.06,2.707439582
11,3.4895,1.7552,0.577,1.7552,0.7424496,4.06,3.014345376
12,3.5,1.7492,0.5805,1.7492,0.7337894,4.06,2.979184964
13,3.51,1.7474,0.5815,1.7474,0.7312869,4.06,2.969024814
14,3.5195,1.7677,0.5698,1.7677,0.76046454,4.06,3.087486032
15,3.5295,1.724,0.5951,1.724,0.6980476,30,20.941428
16,3.5845,1.7588,0.5749,1.7588,0.74766588,30,22.4299764
17,3.685,1.7798,0.5628,1.7798,0.77812856,30,23.3438568
18,3.7855,1.7579,0.5755,1.7579,0.74622855,30,22.3868565
19,3.8855,1.7496,0.5803,1.7496,0.73430712,30,22.0292136
20,3.9855,1.7608,0.5738,1.7608,0.75045296,30,22.5135888
21,4.086,1.7964,0.5532,1.7964,0.80263152,30,24.0789456
22,4.1865,1.7756,0.5652,1.7756,0.77203088,30,23.1609264
23,4.253,1.7356,0.5884,1.7356,0.71437296,30,21.4311888
24,4.2635,1.7416,0.5849,1.7416,0.72293816,30,21.6881448
25,4.2745,1.746,0.5823,1.746,0.7293042,30,21.879126
26,4.285,1.7622,0.573,1.7622,0.7524594,30,22.573782
27,4.296,1.7813,0.5619,1.7813,0.78038753,30,23.4116259
28,4.306,1.7724,0.5671,1.7724,0.76727196,30,23.0181588
29,4.317,1.7569,0.576,1.7569,0.7449256,30,22.347768
30,4.3275,1.7596,0.5745,1.7596,0.7487098,30,22.461294
31,4.336,1.8122,0.544,1.8122,0.8263632,30,24.790896
32,4.3445,1.8035,0.549,1.8035,0.8133785,30,24.401355
33,4.353,1.7698,0.5686,1.7698,0.76349172,30,22.9047516
34,4.362,1.7842,0.5602,1.7842,0.78469116,30,23.5407348
35,4.371,1.7817,0.5617,1.7817,0.78091911,30,23.4275733
36,4.3795,1.7728,0.5668,1.7728,0.76797696,30,23.0393088
37,4.388,1.7885,0.5577,1.7885,0.79105355,30,23.7316065
38,4.3945,1.79,0.5568,1.79,0.793328,30,23.79984
39,4.4015,1.7723,0.5671,1.7723,0.76722867,30,23.0168601
40,4.408,1.8228,0.5378,1.8228,0.84249816,30,25.2749448
41,4.4155,1.8025,0.5496,1.8025,0.811846,30,24.35538
42,4.422,1.7843,0.5602,1.7843,0.78473514,30,23.5420542
43,4.429,1.846,0.5244,1.846,0.8779576,30,26.338728
44,4.4355,1.8714,0.5096,1.8714,0.91773456,30,27.5320368
45,4.444,1.8754,0.5073,1.8754,0.92400958,30,27.7202874
46,4.4525,1.8325,0.5322,1.8325,0.8572435,30,25.717305
47,4.461,1.8048,0.5483,1.8048,0.81522816,30,24.4568448
48,4.469,1.8144,0.5427,1.8144,0.82972512,30,24.8917536
49,4.4775,1.8129,0.5436,1.8129,0.82740756,30,24.8222268
50,4.486,1.8043,0.5486,1.8043,0.81446102,30,24.4338306
51,4.4945,1.7949,0.554,1.7949,0.8005254,30,24.015762
52,4.501,1.8323,0.5323,1.8323,0.85696671,30,25.7090013
53,4.507,1.8497,0.5222,1.8497,0.88378666,30,26.5135998
54,4.513,1.8162,0.5416,1.8162,0.83254608,30,24.9763824
55,4.519,1.8116,0.5443,1.8116,0.82554612,30,24.7663836
56,4.525,1.8164,0.5415,1.8164,0.8328194,30,24.984582
57,4.5315,1.8069,0.547,1.8069,0.8185257,30,24.555771
58,4.5375,1.8456,0.5246,1.8456,0.87739824,30,26.3219472
59,4.549,1.8489,0.5227,1.8489,0.88247997,30,26.4743991
60,4.562,1.8429,0.5262,1.8429,0.87316602,30,26.1949806
61,4.575,1.8171,0.5411,1.8171,0.83386719,30,25.0160157
62,4.5885,1.8279,0.5348,1.8279,0.85033908,30,25.5101724
63,4.602,1.8134,0.5433,1.8134,0.82817978,30,24.8453934
64,4.6145,1.806,0.5476,1.806,0.8170344,30,24.511032
65,4.628,1.845,0.5249,1.845,0.8765595,30,26.296785
66,4.696,1.8036,0.549,1.8036,0.8134236,30,24.402708
67,4.7965,1.8447,0.5251,1.8447,0.87604803,30,26.2814409
68,4.8975,1.8341,0.5313,1.8341,0.85964267,30,25.7892801
69,4.9985,1.8334,0.5317,1.8334,0.85858122,30,25.7574366
70,5.099,1.8438,0.5256,1.8438,0.87469872,30,26.2409616
71,5.1995,1.8443,0.5253,1.8443,0.87548921,30,26.2646763
72,5.3005,1.8164,0.5415,1.8164,0.8328194,44.72,37.24368357
73,5.38,1.8488,0.5228,1.8488,0.88224736,44.72,39.45410194
74,5.438,1.8261,0.5359,1.8261,0.84749301,44.72,37.89988741
75,5.4955,1.8253,0.5364,1.8253,0.84620908,44.72,37.84247006
76,5.5535,1.8314,0.5328,1.8314,0.85563008,44.72,38.26377718
77,5.611,1.7937,0.5547,1.7937,0.79873461,44.72,35.71941176
78,5.67,1.7688,0.5691,1.7688,0.76217592,44.72,34.08450714
79,5.7295,1.7331,0.5898,1.7331,0.71091762,44.72,31.79223597
80,5.7895,1.7728,0.5668,1.7728,0.76797696,44.72,34.34392965
81,5.849,1.8559,0.5186,1.8559,0.89343026,44.72,39.95420123
82,5.9085,1.8197,0.5396,1.8197,0.83778988,44.72,37.46596343
83,5.9595,1.8289,0.5343,1.8289,0.85171873,44.72,38.08886161
84,5.9995,1.8146,0.5425,1.8146,0.8301795,44.72,37.12562724
85,6.0385,1.8095,0.5455,1.8095,0.82241775,44.72,36.77852178
86,6.0785,1.8312,0.5329,1.8312,0.85535352,44.72,38.25140941
87,6.1185,1.8424,0.5265,1.8424,0.8723764,44.72,39.01267261
88,6.1515,1.834,0.5313,1.834,0.8595958,44.72,38.44112418
89,6.1755,1.8392,0.5283,1.8392,0.86755064,44.72,38.79686462
90,6.1995,1.864,0.5139,1.864,0.9060904,44.72,40.52036269
91,6.223,1.8293,0.534,1.8293,0.8524538,44.72,38.12173394
92,6.247,1.8047,0.5483,1.8047,0.81518299,44.72,36.45498331
93,6.2715,1.825,0.5366,1.825,0.845705,44.72,37.8199276
94,6.297,1.8189,0.5401,1.8189,0.83651211,44.72,37.40882156
95,6.3225,1.7696,0.5687,1.7696,0.76322848,44.72,34.13157763
96,6.348,1.7827,0.5611,1.7827,0.78242703,44.72,34.99013678
97,6.374,1.7571,0.5759,1.7571,0.74518611,44.72,33.32472284
98,6.398,1.7584,0.5752,1.7584,0.74696832,44.72,33.40442327
99,6.4205,1.7789,0.5633,1.7789,0.77684563,44.72,34.74053657
100,6.443,1.8154,0.5421,1.8154,0.83127166,44.72,37.17446864
101,6.466,1.8184,0.5404,1.8184,0.83573664,44.72,37.37414254
102,6.488,1.8238,0.5373,1.8238,0.84387226,44.72,37.73796747
103,6.5095,1.8106,0.5449,1.8106,0.82400406,44.72,36.84946156
104,6.528,1.7831,0.5608,1.7831,0.78313752,44.72,35.02190989
105,6.5465,1.7968,0.5529,1.7968,0.80334928,44.72,35.9257798
106,6.565,1.7602,0.5741,1.7602,0.74966918,44.72,33.52520573
107,6.5845,1.7712,0.5677,1.7712,0.76568976,44.72,34.24164607
108,6.602,1.77,0.5684,1.77,0.763932,44.72,34.16303904
109,6.6185,1.7907,0.5565,1.7907,0.79417545,44.72,35.51552612
110,6.6355,1.7649,0.5714,1.7649,0.75643614,44.72,33.82782418
111,6.652,1.8195,0.5397,1.8195,0.83751585,44.72,37.45370881
112,6.6685,1.8348,0.5309,1.8348,0.86070468,44.72,38.49071329
113,6.6845,1.8283,0.5347,1.8283,0.85070799,44.72,38.04366131
114,6.6975,1.83,0.5336,1.83,0.853512,44.72,38.16905664
115,6.7105,1.8275,0.5351,1.8275,0.84960475,44.72,37.99432442
116,6.724,1.8307,0.5332,1.8307,0.85457076,44.72,38.21640439
117,6.7375,1.8133,0.5433,1.8133,0.82813411,44.72,37.0341574
118,6.7515,1.7929,0.5552,1.7929,0.79748192,44.72,35.66339146
119,6.7695,1.7699,0.5685,1.7699,0.76371185,44.72,34.15319393
120,6.788,1.8064,0.5473,1.8064,0.81775728,44.72,36.57010556
121,6.8055,1.8111,0.5446,1.8111,0.82477494,44.72,36.88393532
122,6.824,1.7823,0.5613,1.7823,0.78189501,44.72,34.96634485
123,6.8405,1.7673,0.57,1.7673,0.759939,44.72,33.98447208
124,6.8525,1.7568,0.5761,1.7568,0.74470752,44.72,33.30332029
125,6.8645,1.7867,0.5587,1.7867,0.78847071,44.72,35.26041015
126,6.8755,1.8227,0.5379,1.8227,0.84226967,44.72,37.66629964
127,6.8875,1.8332,0.5318,1.8332,0.85830424,44.72,38.38336561
128,6.8995,1.8374,0.5293,1.8374,0.86486418,44.72,38.67672613
129,6.911,1.8433,0.526,1.8433,0.8737242,44.72,39.07294622
130,6.9225,1.8292,0.5341,1.8292,0.85222428,44.72,38.1114698
131,6.9345,1.8532,0.5202,1.8532,0.88916536,44.72,39.7634749
132,6.9465,1.8142,0.5428,1.8142,0.82945224,44.72,37.09310417
133,6.958,1.8172,0.5411,1.8172,0.83391308,44.72,37.29259294
134,6.967,1.8253,0.5364,1.8253,0.84620908,44.72,37.84247006
135,6.976,1.8185,0.5403,1.8185,0.83596445,44.72,37.3843302
136,6.9855,1.7942,0.5544,1.7942,0.79949552,44.72,35.75343965
137,6.9945,1.7735,0.5664,1.7735,0.7689896,44.72,34.38921491
138,7.004,1.769,0.569,1.769,0.762439,44.72,34.09627208
139,7.0145,1.7595,0.5745,1.7595,0.74866725,44.72,33.48039942
140,7.0245,1.7379,0.5871,1.7379,0.71757891,44.72,32.09012886
141,7.0355,1.7531,0.5782,1.7531,0.73945758,44.72,33.06854298
142,7.0455,1.8325,0.5322,1.8325,0.8572435,44.72,38.33592932
143,7.0565,1.8415,0.527,1.8415,0.8710295,44.72,38.95243924
144,7.067,1.773,0.5667,1.773,0.7682409,44.72,34.35573305
145,7.078,1.8004,0.5508,1.8004,0.80873968,44.72,36.16683849
146,7.0895,1.7555,0.5769,1.7555,0.74275205,44.72,33.21587168
147,7.1005,1.7712,0.5677,1.7712,0.76568976,44.72,34.24164607
148,0,1.7764,0.5648,1.7764,0.77308928,44.72,34.5725526
149,0,1.7847,0.5599,1.7847,0.78544647,44.72,35.12516614
150,0,1.7641,0.5719,1.7641,0.75521121,44.72,33.77304531
153,7.168,1.7098,0.6034,1.7098,0.67810668,44.72,30.32493073
154,7.1815,1.8134,0.5433,1.8134,0.82817978,44.72,37.03619976
155,7.1945,1.8252,0.5364,1.8252,0.84616272,44.72,37.84039684
156,7.208,1.8369,0.5296,1.8369,0.86407776,44.72,38.64155743
157,7.221,1.8168,0.5413,1.8168,0.83336616,44.72,37.26813468
158,7.2345,1.7875,0.5583,1.7875,0.78953875,44.72,35.3081729
159,7.244,1.7615,0.5734,1.7615,0.7514559,44.72,33.60510785
160,7.254,1.8089,0.5459,1.8089,0.82142149,44.72,36.73396903
161,7.264,1.7885,0.5577,1.7885,0.79105355,44.72,35.37591476
162,7.274,1.7733,0.5666,1.7733,0.76854822,44.72,34.3694764
163,7.2835,1.7561,0.5765,1.7561,0.74370835,44.72,33.25863741
164,7.2965,1.7163,0.5996,1.7163,0.68720652,44.72,30.73187557
165,7.3095,1.71,0.6033,1.71,0.678357,44.72,30.33612504
166,7.3225,1.7485,0.5809,1.7485,0.73279635,44.72,32.77065277
167,7.335,1.7803,0.5625,1.7803,0.77888125,44.72,34.8315695
168,7.348,1.7751,0.5655,1.7751,0.77128095,44.72,34.49168408
169,7.3615,1.7733,0.5665,1.7733,0.76872555,44.72,34.3774066
